"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","2-0",1520,"1","ap","Week 3"
2,"Florida State","2-0",1437,"3","ap","Week 3"
3,"Ohio State","2-0",1359,"4","ap","Week 3"
4,"Michigan","2-0",1298,"5","ap","Week 3"
5,"Clemson","2-0",1284,"2","ap","Week 3"
6,"Houston","2-0",1264,"6","ap","Week 3"
7,"Stanford","1-0",1137,"7","ap","Week 3"
8,"Washington","2-0",983,"8","ap","Week 3"
9,"Wisconsin","2-0",893,"10","ap","Week 3"
10,"Louisville","2-0",890,"13","ap","Week 3"
11,"Texas","2-0",872,"11","ap","Week 3"
12,"Michigan State","1-0",747,"12","ap","Week 3"
13,"Iowa","2-0",694,"16","ap","Week 3"
14,"Oklahoma","1-1",686,"14","ap","Week 3"
15,"Tennessee","2-0",665,"17","ap","Week 3"
16,"Georgia","2-0",584,"9","ap","Week 3"
17,"Texas A&M","2-0",564,"20","ap","Week 3"
18,"Notre Dame","1-1",526,"18","ap","Week 3"
19,"Mississippi","1-1",473,"19","ap","Week 3"
20,"LSU","1-1",391,"21","ap","Week 3"
21,"Baylor","2-0",305,"23","ap","Week 3"
22,"Oregon","2-0",292,"24","ap","Week 3"
23,"Florida","2-0",205,"-","ap","Week 3"
24,"Arkansas","2-0",198,"-","ap","Week 3"
25,"Miami","2-0",197,"25","ap","Week 3"
1,"Alabama","2-0",1520,"1","adam-jude","Week 3"
2,"Florida State","2-0",1437,"3","adam-jude","Week 3"
3,"Houston","2-0",1264,"6","adam-jude","Week 3"
4,"Clemson","2-0",1284,"2","adam-jude","Week 3"
5,"Ohio State","2-0",1359,"4","adam-jude","Week 3"
6,"Michigan","2-0",1298,"5","adam-jude","Week 3"
7,"Stanford","1-0",1137,"7","adam-jude","Week 3"
8,"Wisconsin","2-0",893,"10","adam-jude","Week 3"
9,"Texas","2-0",872,"11","adam-jude","Week 3"
10,"Notre Dame","1-1",526,"18","adam-jude","Week 3"
11,"Michigan State","1-0",747,"12","adam-jude","Week 3"
12,"Oklahoma","1-1",686,"14","adam-jude","Week 3"
13,"Louisville","2-0",890,"13","adam-jude","Week 3"
14,"Washington","2-0",983,"8","adam-jude","Week 3"
15,"Baylor","2-0",305,"23","adam-jude","Week 3"
16,"Iowa","2-0",694,"16","adam-jude","Week 3"
17,"Utah","2-0",62,"-","adam-jude","Week 3"
18,"Tennessee","2-0",665,"17","adam-jude","Week 3"
19,"San Diego State","2-0",51,"-","adam-jude","Week 3"
20,"Georgia","2-0",584,"9","adam-jude","Week 3"
21,"Oregon","2-0",292,"24","adam-jude","Week 3"
22,"Mississippi","1-1",473,"19","adam-jude","Week 3"
23,"LSU","1-1",391,"21","adam-jude","Week 3"
24,"Texas A&M","2-0",564,"20","adam-jude","Week 3"
25,"Nebraska","2-0",11,"-","adam-jude","Week 3"
1,"Alabama","2-0",1520,"1","adam-zucker","Week 3"
2,"Florida State","2-0",1437,"3","adam-zucker","Week 3"
3,"Ohio State","2-0",1359,"4","adam-zucker","Week 3"
4,"Houston","2-0",1264,"6","adam-zucker","Week 3"
5,"Michigan","2-0",1298,"5","adam-zucker","Week 3"
6,"Clemson","2-0",1284,"2","adam-zucker","Week 3"
7,"Stanford","1-0",1137,"7","adam-zucker","Week 3"
8,"Michigan State","1-0",747,"12","adam-zucker","Week 3"
9,"Louisville","2-0",890,"13","adam-zucker","Week 3"
10,"Washington","2-0",983,"8","adam-zucker","Week 3"
11,"Wisconsin","2-0",893,"10","adam-zucker","Week 3"
12,"Texas","2-0",872,"11","adam-zucker","Week 3"
13,"Iowa","2-0",694,"16","adam-zucker","Week 3"
14,"Georgia","2-0",584,"9","adam-zucker","Week 3"
15,"Oklahoma","1-1",686,"14","adam-zucker","Week 3"
16,"Texas A&M","2-0",564,"20","adam-zucker","Week 3"
17,"Notre Dame","1-1",526,"18","adam-zucker","Week 3"
18,"Arkansas","2-0",198,"-","adam-zucker","Week 3"
19,"Tennessee","2-0",665,"17","adam-zucker","Week 3"
20,"Mississippi","1-1",473,"19","adam-zucker","Week 3"
21,"Oregon","2-0",292,"24","adam-zucker","Week 3"
22,"Pittsburgh","2-0",39,"-","adam-zucker","Week 3"
23,"LSU","1-1",391,"21","adam-zucker","Week 3"
24,"San Diego State","2-0",51,"-","adam-zucker","Week 3"
25,"Florida","2-0",205,"-","adam-zucker","Week 3"
1,"Alabama","2-0",1520,"1","andy-greder","Week 3"
2,"Florida State","2-0",1437,"3","andy-greder","Week 3"
3,"Ohio State","2-0",1359,"4","andy-greder","Week 3"
4,"Michigan","2-0",1298,"5","andy-greder","Week 3"
5,"Stanford","1-0",1137,"7","andy-greder","Week 3"
6,"Clemson","2-0",1284,"2","andy-greder","Week 3"
7,"Michigan State","1-0",747,"12","andy-greder","Week 3"
8,"Houston","2-0",1264,"6","andy-greder","Week 3"
9,"Oklahoma","1-1",686,"14","andy-greder","Week 3"
10,"LSU","1-1",391,"21","andy-greder","Week 3"
11,"Tennessee","2-0",665,"17","andy-greder","Week 3"
12,"Iowa","2-0",694,"16","andy-greder","Week 3"
13,"Notre Dame","1-1",526,"18","andy-greder","Week 3"
14,"Mississippi","1-1",473,"19","andy-greder","Week 3"
15,"Oregon","2-0",292,"24","andy-greder","Week 3"
16,"Baylor","2-0",305,"23","andy-greder","Week 3"
17,"Florida","2-0",205,"-","andy-greder","Week 3"
18,"Washington","2-0",983,"8","andy-greder","Week 3"
19,"Louisville","2-0",890,"13","andy-greder","Week 3"
20,"Wisconsin","2-0",893,"10","andy-greder","Week 3"
21,"Texas","2-0",872,"11","andy-greder","Week 3"
22,"Georgia","2-0",584,"9","andy-greder","Week 3"
23,"Texas A&M","2-0",564,"20","andy-greder","Week 3"
24,"Oklahoma State","1-1",22,"22","andy-greder","Week 3"
25,"North Carolina","1-1",10,"-","andy-greder","Week 3"
1,"Alabama","2-0",1520,"1","bill-landis","Week 3"
2,"Houston","2-0",1264,"6","bill-landis","Week 3"
3,"Florida State","2-0",1437,"3","bill-landis","Week 3"
4,"Ohio State","2-0",1359,"4","bill-landis","Week 3"
5,"Michigan","2-0",1298,"5","bill-landis","Week 3"
6,"Clemson","2-0",1284,"2","bill-landis","Week 3"
7,"Wisconsin","2-0",893,"10","bill-landis","Week 3"
8,"Texas","2-0",872,"11","bill-landis","Week 3"
9,"Washington","2-0",983,"8","bill-landis","Week 3"
10,"Louisville","2-0",890,"13","bill-landis","Week 3"
11,"Arkansas","2-0",198,"-","bill-landis","Week 3"
12,"Texas A&M","2-0",564,"20","bill-landis","Week 3"
13,"Stanford","1-0",1137,"7","bill-landis","Week 3"
14,"Iowa","2-0",694,"16","bill-landis","Week 3"
15,"Oklahoma","1-1",686,"14","bill-landis","Week 3"
16,"Mississippi","1-1",473,"19","bill-landis","Week 3"
17,"Oregon","2-0",292,"24","bill-landis","Week 3"
18,"Georgia","2-0",584,"9","bill-landis","Week 3"
19,"Tennessee","2-0",665,"17","bill-landis","Week 3"
20,"Michigan State","1-0",747,"12","bill-landis","Week 3"
21,"LSU","1-1",391,"21","bill-landis","Week 3"
22,"Notre Dame","1-1",526,"18","bill-landis","Week 3"
23,"Miami","2-0",197,"25","bill-landis","Week 3"
24,"Baylor","2-0",305,"23","bill-landis","Week 3"
25,"Utah","2-0",62,"-","bill-landis","Week 3"
1,"Alabama","2-0",1520,"1","bob-asmussen","Week 3"
2,"Ohio State","2-0",1359,"4","bob-asmussen","Week 3"
3,"Florida State","2-0",1437,"3","bob-asmussen","Week 3"
4,"Clemson","2-0",1284,"2","bob-asmussen","Week 3"
5,"Michigan","2-0",1298,"5","bob-asmussen","Week 3"
6,"Houston","2-0",1264,"6","bob-asmussen","Week 3"
7,"Georgia","2-0",584,"9","bob-asmussen","Week 3"
8,"Oklahoma","1-1",686,"14","bob-asmussen","Week 3"
9,"Wisconsin","2-0",893,"10","bob-asmussen","Week 3"
10,"Stanford","1-0",1137,"7","bob-asmussen","Week 3"
11,"LSU","1-1",391,"21","bob-asmussen","Week 3"
12,"Washington","2-0",983,"8","bob-asmussen","Week 3"
13,"Michigan State","1-0",747,"12","bob-asmussen","Week 3"
14,"Texas","2-0",872,"11","bob-asmussen","Week 3"
15,"Louisville","2-0",890,"13","bob-asmussen","Week 3"
16,"Notre Dame","1-1",526,"18","bob-asmussen","Week 3"
17,"Tennessee","2-0",665,"17","bob-asmussen","Week 3"
18,"Texas A&M","2-0",564,"20","bob-asmussen","Week 3"
19,"Iowa","2-0",694,"16","bob-asmussen","Week 3"
20,"Mississippi","1-1",473,"19","bob-asmussen","Week 3"
21,"Florida","2-0",205,"-","bob-asmussen","Week 3"
22,"Baylor","2-0",305,"23","bob-asmussen","Week 3"
23,"Oregon","2-0",292,"24","bob-asmussen","Week 3"
24,"Miami","2-0",197,"25","bob-asmussen","Week 3"
25,"Arkansas","2-0",198,"-","bob-asmussen","Week 3"
1,"Alabama","2-0",1520,"1","brent-axe","Week 3"
2,"Florida State","2-0",1437,"3","brent-axe","Week 3"
3,"Ohio State","2-0",1359,"4","brent-axe","Week 3"
4,"Clemson","2-0",1284,"2","brent-axe","Week 3"
5,"Houston","2-0",1264,"6","brent-axe","Week 3"
6,"Michigan","2-0",1298,"5","brent-axe","Week 3"
7,"Stanford","1-0",1137,"7","brent-axe","Week 3"
8,"Texas","2-0",872,"11","brent-axe","Week 3"
9,"Wisconsin","2-0",893,"10","brent-axe","Week 3"
10,"Washington","2-0",983,"8","brent-axe","Week 3"
11,"Texas A&M","2-0",564,"20","brent-axe","Week 3"
12,"Louisville","2-0",890,"13","brent-axe","Week 3"
13,"Georgia","2-0",584,"9","brent-axe","Week 3"
14,"Iowa","2-0",694,"16","brent-axe","Week 3"
15,"Michigan State","1-0",747,"12","brent-axe","Week 3"
16,"Tennessee","2-0",665,"17","brent-axe","Week 3"
17,"Notre Dame","1-1",526,"18","brent-axe","Week 3"
18,"LSU","1-1",391,"21","brent-axe","Week 3"
19,"Oklahoma","1-1",686,"14","brent-axe","Week 3"
20,"Baylor","2-0",305,"23","brent-axe","Week 3"
21,"Florida","2-0",205,"-","brent-axe","Week 3"
22,"Oregon","2-0",292,"24","brent-axe","Week 3"
23,"Arkansas","2-0",198,"-","brent-axe","Week 3"
24,"Mississippi","1-1",473,"19","brent-axe","Week 3"
25,"TCU","1-1",62,"15","brent-axe","Week 3"
1,"Alabama","2-0",1520,"1","brett-mcmurphy","Week 3"
2,"Florida State","2-0",1437,"3","brett-mcmurphy","Week 3"
3,"Houston","2-0",1264,"6","brett-mcmurphy","Week 3"
4,"Ohio State","2-0",1359,"4","brett-mcmurphy","Week 3"
5,"Texas","2-0",872,"11","brett-mcmurphy","Week 3"
6,"Clemson","2-0",1284,"2","brett-mcmurphy","Week 3"
7,"Wisconsin","2-0",893,"10","brett-mcmurphy","Week 3"
8,"Michigan","2-0",1298,"5","brett-mcmurphy","Week 3"
9,"Stanford","1-0",1137,"7","brett-mcmurphy","Week 3"
10,"Notre Dame","1-1",526,"18","brett-mcmurphy","Week 3"
11,"Washington","2-0",983,"8","brett-mcmurphy","Week 3"
